a,b,c,y
758.8767764978427,-312.0441719839333,927.8994087247197,1024.8362482320338
-200.63093040693627,797.8599840596069,805.4927819726022,1137.5457972000936
-184.9999465379641,-441.6057690651121,-962.3481068052222,-1244.8176401837666
462.02572473523537,-18.461446555890348,496.19023347906204,640.968085112862
-618.5695128130633,-631.2428225347877,884.4521669496485,362.6409180779002
592.4102614950598,432.9702886771686,594.3154128486597,1008.2706443522637
-464.0247630793142,-393.9245857208699,-891.7821789371567,-1243.41939282403
-986.3867969647555,189.40379236720082,-992.0296879009913,-1226.123390705643
494.21020842373514,-586.1479579362606,-253.2711831320902,-381.60842595897543
161.46653835507618,35.418796758719054,-193.9341472211438,-122.40256939009221
-204.63037659467193,523.2546334384015,-403.5416977433897,-210.12450655574628
671.526189399729,-180.40165420243022,215.58472039291473,349.22595642494264
430.04981177959667,280.89569238577474,955.1143871640554,1238.9121706168082
-478.5532770682004,-402.83215317025497,625.1682148641462,264.2343792562852
85.91438673563971,-929.5617359843218,435.6783817729879,-0.4643573072930849
753.4694156045334,-856.8961810745787,-42.16841909178436,-219.46003776089597
608.3307840508787,132.65143951433356,585.8873326887549,854.9899804628812
-519.0985092478718,763.0341650024466,668.4152776653032,876.8995237505693
435.8855179902105,246.58166104927682,-211.89991461987438,56.68608856816753
-428.88920161887347,295.8956492292705,-100.36120603572192,-95.37644862737785
247.8539103876169,-800.618970304912,998.7021923913512,681.010677368101
-512.0260375645375,806.2006898326808,440.07271038939757,672.4977094508921
-885.312698825434,-218.16364709069956,346.9410458488635,-57.24501063829763
838.7034473433537,919.8269571111346,-473.7058633187952,265.77543101788996
760.3384571211268,-329.01061877667235,-581.6537160021649,-492.7128730167921
-277.07863738746255,-430.31294196021963,-136.38206818574065,-443.89808496167126
697.5052454042725,108.82224371716848,-301.4304076823157,-14.517537355640636
-948.122090306712,-662.4037963874828,792.7704033876457,145.52780842500033
-597.9754121550285,-293.3337061157704,455.9247286926734,109.93273824977874
342.7442477692982,641.1084597798583,-885.139177795066,-450.3368653153707
-36.51145687343637,-185.74366277610238,-349.4735198835681,-454.5158368960981
351.0697177914906,233.64145237942512,-318.0697677902209,-84.22580233667816
-867.4160344466604,-136.63548434743427,156.7882292302179,-200.66819109238605
141.7432952206575,-449.36143945585934,205.68670700882262,28.253752354445453
-335.46950065861995,-25.811713561847228,161.94366429736033,37.214640630230065
-567.6345852531099,78.76220654198346,-755.7102340169388,-905.5406591636504
299.119350746799,-127.96982676362938,42.5162854343871,78.23782230150542
-869.3238181467373,334.4262404558074,653.4784044378848,530.916918616876
-181.37496946474528,986.2191774642633,-198.20782602629322,234.44343955092336
-732.1266827517186,-471.3524943285794,-541.5288962287998,-1021.2473709769956
453.3762827110752,-779.0028553598347,-676.1056922361836,-914.4816923457425
-200.47477745250535,-62.503466148248435,-316.32678407781475,-414.4034429694407
-357.81539022628397,658.9426661406785,-473.55097478866435,-263.35143846041973
713.8374901517511,-390.0931720233576,34.44315761127882,77.34240165018373
-382.1459925187836,-829.0608854800787,664.5019832754483,122.58954302914776
501.9245676989183,511.49598213961326,-39.86772526878951,383.1884550339899
812.1468270116502,-584.6427133065206,-923.7931832923894,-945.3989309417661
-812.2608426868256,-807.7049049491003,31.072436655533238,-643.5336300479587
650.94568879954,927.4320726703725,468.4963307175367,1149.1942633192361
-219.00952766320245,430.90072529459985,-700.3360422219184,-557.8888554623527
-674.0676832566301,820.250244921611,146.52928444391364,331.96517915250917
627.3833606616347,319.6975034205984,-359.2970399925797,9.679498604931089
167.71418740879335,-857.2533876579613,935.5443055424375,562.8223408497213
-55.852394087610946,136.08979519037462,100.67959748002454,150.10703037934152
-788.6370866616824,282.94932334266036,797.4254059668833,676.021038750986
358.7086399319121,607.7757461283463,629.0091411346327,1052.4665608427765
-492.1718932296366,-926.6794921778044,-595.0508710286941,-1222.4479148608084
284.2717813662123,-619.0274399893315,-439.767778808343,-654.5242383476046
-274.442153735436,942.7639628728996,-839.704681759061,-459.8034182344232
225.64780214383336,-967.1878165929351,-66.4369726024363,-474.8149468509594
-453.71228808193734,-745.1189667440292,-937.1345418660726,-1460.931454598733
-452.0272855746208,-953.9176885766727,406.3280378489594,-221.30656829758388
-191.25726547218756,640.1897007388029,-845.9098019582439,-589.567373412905
931.8052165416971,-852.7320333906987,626.4526882113923,510.6884103632754
-266.26589511988504,923.8729693661555,323.1793363593363,696.3605226691192
628.2703761705309,621.6237586877542,763.3090983702346,1283.5444364376217
772.3660830033991,124.79905173883367,836.3277475928332,1156.1826344633832
270.5964601557457,-880.8025900307229,204.30858202662284,-145.89389293682333
-587.0735298116861,466.0326422515709,906.0618120066799,943.3869565285701
24.162283476216317,-442.9039794538771,-106.30304555428154,-319.70094078914804
854.1904296907389,-254.13186493194326,26.431325238476347,184.09553600275106
231.8693323518121,957.8323378910843,-314.42072727003165,241.7852191261145
-936.028201249878,527.3769779746058,-95.80309421272705,-144.12400564205012
-334.6255336896942,616.222571840611,315.98355396893635,512.5529953260104
410.7870830042673,167.86611585181822,45.10491836334745,265.96700395734564
-909.3915842677682,-138.669696259744,-877.9403664829767,-1250.4057427021046
-451.2313830157042,-345.19629682153516,-965.5927616715212,-1288.6013710875236
554.8216726896915,819.8602331739855,272.7915673487414,867.6622414989646
-481.51634473403874,-966.9898724397434,57.565189518312536,-586.4351949462388
-63.266407633928225,-247.45850724121146,-541.7881433951557,-686.6061995604042
878.074246197951,85.0268489777568,-593.5209043432466,-258.3160644550511
845.4435569281968,-217.01079210106843,761.3939933715253,934.7031162970567
85.82696965384753,935.7871460400561,-900.5157502456826,-404.01318734103876
343.0071076240954,881.7816204977978,784.924583313119,1340.151096103383
-757.8571027797458,280.83529628877,720.8313284844048,608.6299423688745
480.8459714819671,164.3639736820362,917.3289003125449,1159.792877647552
-573.3146460924297,-301.8447802167814,-432.5765640344581,-774.6038361736587
-868.9229954983566,430.5057637444297,-432.8727681057476,-507.2608847329849
641.5964729565392,-422.1286188997826,-725.6112851275886,-722.8101035919669
-440.8789935291326,666.9234041882794,497.80904057611406,684.311078160543
-460.3247997344955,-50.89653378022945,-35.298883904458535,-214.18875070607177
-900.2198492316968,-826.7949791479787,861.3105143655869,147.8397417143653
933.2328659238776,261.7626975598523,-140.95681783646285,301.0021529180892
132.72152807057887,-300.72315474979325,-270.89442454789037,-377.0154925659274
134.38896091147785,-886.8859358330701,-463.1049161071379,-861.751563719847
151.8953511604377,-79.5826814464225,-563.1241063322678,-552.2836633353332
261.54931827320115,809.9535837395945,439.6625697351719,931.8224676960363
-400.4700535103858,-926.636244907554,-225.57864005743158,-822.3867803480039
991.7913749384345,6.719984454549149,655.8400224452753,989.7971396520279
-254.19243280443754,395.81357536081214,744.7653303171435,857.9413070627372
269.49913808344536,554.3655635928078,-197.64500388627243,169.3708239379466
369.77280517180566,557.8770793256983,-541.4430239738592,-139.24688258707485
160.09831749756677,-546.5330445343734,712.9846723767575,493.0842559420931
-122.38746640077647,855.6550514480966,-731.9126893783118,-344.88098578785565
812.129089941513,-203.82650916684918,728.8455917504282,897.6420338141746
951.1535416259035,659.9494854831812,-903.8849560292895,-256.85903274573104
-580.623943567861,-327.95653343189565,-2.1856079172764566,-359.70518915584466
868.5561278031694,-730.1972394704983,-471.6872966988366,-547.2672071663626
973.3143748811569,-853.8848573954914,-951.1305212524901,-1053.63482498985
458.4056665118301,641.2262133035979,-904.5663502051726,-431.151354716097
-218.5020048039206,-910.8168599587376,-393.59488561096214,-921.8373171916378
-108.86276885728114,-140.73753829096063,742.4370837877134,635.7807250231393
764.4259652015867,-619.2173843016035,-94.43374968131411,-149.2337867649203
-732.7494990398134,-748.3728891630002,309.97543590606574,-308.46084168870544
43.94455361104542,-376.28413599011276,-593.0042255704475,-766.4981090284887
-52.88511345410461,-441.4451071287797,-978.1292012358645,-1216.4801259516225
-536.8277154830262,251.8028430216575,-120.2624973868136,-173.30364770366026
-576.2575522460179,-338.2336493675555,-462.6930709680346,-823.895746400485
-963.6875767470812,-427.5231938731754,146.0151573919661,-388.97563179364863
31.589748986027644,460.9027751526701,443.729902916421,684.7112068214318
302.4584472400468,239.7914893034465,743.929294486742,964.6445215518141
315.3456300445216,189.85306230141464,355.7598779283894,555.8016190939372
-414.44166507611294,115.81268650880111,-109.48622355061752,-189.72710198825462
-874.3015187554131,987.8640329672717,322.02563654666847,524.5238134451666
-532.1454443462328,-189.08656351871218,-950.1142864884501,-1222.0393830298838
853.7007130919321,-332.8202954941122,-156.95016854964888,-38.793411932727594
510.286629355312,-837.8417387954028,-744.0822952285107,-992.9076215077747
635.140447605464,-61.91864568848746,-522.3658652267276,-341.6117055358166
873.3469660142205,-133.5562714790575,-153.26047819817768,71.07704140036707
672.0099493599696,346.3044716335103,432.4712839448498,829.6268362149281
920.784380900179,-216.6646186368473,-121.77564833499014,76.82016931331256
490.0755030445464,685.3433042652166,371.796855356185,877.827008503642
330.8595307250921,-70.6099677710281,583.0025544463576,657.9840808025409
-852.1476905144534,-445.6699207608092,990.2193569303006,483.33516637841154
-370.41199898341665,-850.8188936429326,692.7086650807091,143.82855193143723
-411.88841983701764,583.7112104974744,192.70138201064628,347.26084731371094
450.52987013949837,-370.8409203844159,607.047653248266,571.8038164358909
365.0730416521799,123.59104646368928,395.99880912977324,579.4853462456779
